errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize,efficacy,refficacy,retrievedproportion,eta,aeta,peta,paeta,ipeta,ipaeta,ieta,iaeta,infoalphabet,onlydrop
0.028,2.159,0.457176208496094,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0.570310515769372,1.14062103153874,9720,0.570310515769372,0.63539827796399,1.14062103153874,1.27079655592798,0.0760700377206586,0.0847516741071429,NA,NA,NA,FALSE
0.01,1.603,0.148667471749442,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.278991507090138,0.557983014180277,9900,0.278991507090138,0.345284598214286,0.557983014180277,0.690569196428572,0.0697478767725346,0.0863211495535715,NA,NA,NA,FALSE
0.219,2.869,0.457775115966797,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0.458243325942263,0.916486651884526,7810,0.458243325942263,0.510541208940202,0.916486651884526,1.0210824178804,0.061122118785838,0.0680977957589284,NA,NA,NA,FALSE
0.03,1.782,0.155789239065988,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.273355315027711,0.546710630055422,9700,0.273355315027711,0.338309151785714,0.546710630055422,0.676618303571429,0.0683388287569277,0.0845772879464286,NA,NA,NA,FALSE
0.471,3.37,0.458302906581334,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0.31038504407613,0.620770088152259,5290,0.31038504407613,0.345808322060649,0.620770088152259,0.691616644121297,0.0414002571545561,0.0461251395089285,NA,NA,NA,FALSE
0.0629999999999999,2.061,0.162896292550223,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.264055598124707,0.528111196249413,9370,0.264055598124707,0.326799665178571,0.528111196249413,0.653599330357143,0.0660138995311766,0.0816999162946429,NA,NA,NA,FALSE
0.668,3.665,0.459577560424805,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0.194797418966493,0.389594837932987,3320,0.194797418966493,0.21702904144449,0.389594837932987,0.434058082888981,0.0259827700856572,0.0289481026785715,NA,NA,NA,FALSE
0.134,2.325,0.170358657836914,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.244047116303091,0.488094232606181,8660,0.244047116303091,0.302036830357143,0.488094232606181,0.604073660714286,0.0610117790757726,0.0755092075892858,NA,NA,NA,FALSE
0.833,3.836,0.460203988211496,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0.0979854486970012,0.195970897394002,1670,0.0979854486970012,0.109168222654307,0.195970897394002,0.218336445308614,0.0130696463985082,0.0145612444196429,NA,NA,NA,FALSE
0.234,2.653,0.17734009878976,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.215866155990955,0.431732311981911,7660,0.215866155990955,0.267159598214286,0.431732311981911,0.534319196428572,0.0539665389977389,0.0667898995535715,NA,NA,NA,FALSE
0.919,3.934,0.461303983415876,256,8,10000,1,4,4,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0.0475258763141143,0.0950517526282287,810,0.0475258763141143,0.0529498564969991,0.0950517526282287,0.105899712993998,0.00633916981005491,0.00706263950892855,NA,NA,NA,FALSE
0.578,1,0.167437962123326,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.141982497230976,0.283964994461952,5064,0.141982497230976,0.176618303571429,0.283964994461952,0.353236607142857,0.035495624307744,0.0441545758928571,NA,NA,NA,FALSE
0.997,1,0.519244602748326,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0.00210710084399717,0.00421420168799434,36,0.00210710084399717,0.00235332695542219,0.00421420168799434,0.00470665391084437,0.000281052577941444,0.000313895089285714,NA,NA,NA,FALSE
0.737,1,0.173976898193359,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.0884867222079307,0.176973444415861,3156,0.0884867222079307,0.110072544642857,0.176973444415861,0.220145089285714,0.0221216805519826,0.0275181361607142,NA,NA,NA,FALSE
0.999,1,0.518909726824079,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0.000702366947999056,0.00140473389599811,12,0.000702366947999056,0.000784442318474062,0.00140473389599811,0.00156888463694812,9.36841926471479e-05,0.000104631696428571,NA,NA,NA,FALSE
0.807,1,0.180581501552037,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.0649351231411811,0.129870246282362,2316,0.0649351231411811,0.0807756696428572,0.129870246282362,0.161551339285714,0.0162337807852952,0.0201939174107142,NA,NA,NA,FALSE
0.999,1,0.518621989658901,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0.000702366947999056,0.00140473389599811,12,0.000702366947999056,0.000784442318474062,0.00140473389599811,0.00156888463694812,9.36841926471479e-05,0.000104631696428571,NA,NA,NA,FALSE
0.86,1,0.187109538487026,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.0471031981334992,0.0942063962669985,1680,0.0471031981334992,0.05859375,0.0942063962669985,0.1171875,0.0117757995333748,0.0146484375,NA,NA,NA,FALSE
1,1,0.518372399466378,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.907,1,0.193875994001116,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.0312899816172531,0.0625799632345061,1116,0.0312899816172531,0.0389229910714286,0.0625799632345061,0.0778459821428571,0.00782249540431326,0.00973074776785714,NA,NA,NA,FALSE
1,1,0.518144880022321,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.95,1,0.200263704572405,256,8,12000,1,4,1,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.016822570761964,0.0336451415239281,600.000000000001,0.016822570761964,0.0209263392857143,0.0336451415239281,0.0418526785714286,0.00420564269049101,0.00523158482142858,NA,NA,NA,FALSE
1,1,0.517393112182617,256,8,12000,1,4,1,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.001,1.585,0.167289733886719,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.336114963824041,0.672229927648082,11988,0.336114963824041,0.418108258928571,0.672229927648082,0.836216517857143,0.0840287409560102,0.104527064732143,NA,NA,NA,FALSE
0.313,3.281,0.519246782575335,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0.482526093275351,0.965052186550703,8244,0.482526093275351,0.53891187279168,0.965052186550703,1.07782374558336,0.0643610403485907,0.0718819754464285,NA,NA,NA,FALSE
0.025,1.85,0.174040658133371,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.328040129858298,0.656080259716596,11700,0.328040129858298,0.408063616071429,0.656080259716596,0.816127232142857,0.0820100324645745,0.102015904017857,NA,NA,NA,FALSE
0.684,3.684,0.519167491367885,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0.221947955567702,0.443895911135403,3792,0.221947955567702,0.247883772637803,0.443895911135403,0.495767545275607,0.0296042048764988,0.0330636160714286,NA,NA,NA,FALSE
0.0679999999999999,2.129,0.180732454572405,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.313572719003009,0.627145438006018,11184,0.313572719003009,0.390066964285714,0.627145438006018,0.780133928571429,0.0783931797507522,0.0975167410714286,NA,NA,NA,FALSE
0.877,3.917,0.518369674682617,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0.0863911346038839,0.172782269207768,1476,0.0863911346038839,0.0964864051723096,0.172782269207768,0.192972810344619,0.0115231556955992,0.0128696986607143,NA,NA,NA,FALSE
0.147,2.414,0.187216894967215,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.286993057199106,0.573986114398212,10236,0.286993057199106,0.357003348214286,0.573986114398212,0.714006696428571,0.0717482642997765,0.0892508370535714,NA,NA,NA,FALSE
0.957,3.966,0.517780303955078,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0.0302017787639594,0.0604035575279189,516,0.0302017787639594,0.0337310196943847,0.0604035575279189,0.0674620393887693,0.00402842028382737,0.00449916294642857,NA,NA,NA,FALSE
0.251,2.742,0.193696158272879,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.252002110014221,0.504004220028442,8988,0.252002110014221,0.3134765625,0.504004220028442,0.626953125,0.0630005275035553,0.078369140625,NA,NA,NA,FALSE
0.983,3.993,0.517891475132534,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0.011940238115984,0.0238804762319679,204,0.011940238115984,0.0133355194140591,0.0238804762319679,0.0266710388281181,0.00159263127500152,0.00177873883928572,NA,NA,NA,FALSE
0.362,3.015,0.200488771711077,256,8,12000,1,4,4,1000,0.33645141523928,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.214656002922661,0.429312005845322,7656,0.214656002922661,0.267020089285714,0.429312005845322,0.534040178571429,0.0536640007306652,0.0667550223214286,NA,NA,NA,FALSE
0.997,3.998,0.517298834664481,256,8,12000,1,4,4,1000,0.702366947999056,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0.00210710084399717,0.00421420168799434,36,0.00210710084399717,0.00235332695542219,0.00421420168799434,0.00470665391084437,0.000281052577941444,0.000313895089285714,NA,NA,NA,FALSE
0.753,1,0.192361559186663,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.0965349931025714,0.193069986205143,3458,0.0965349931025714,0.12060546875,0.193069986205143,0.2412109375,0.0241337482756429,0.0301513671875,NA,NA,NA,FALSE
1,1,0.574475969587054,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.85,1,0.198517118181501,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.0586244897384037,0.117248979476807,2100,0.0586244897384037,0.0732421875,0.117248979476807,0.146484375,0.0146561224346009,0.018310546875,NA,NA,NA,FALSE
1,1,0.572752816336496,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.894,1,0.204541070120675,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.0414279727484719,0.0828559454969438,1484,0.0414279727484719,0.0517578125,0.0828559454969438,0.103515625,0.010356993187118,0.012939453125,NA,NA,NA,FALSE
1,1,0.571765354701451,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.947,1,0.210694721766881,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.020713986374236,0.041427972748472,742.000000000001,0.020713986374236,0.02587890625,0.041427972748472,0.0517578125,0.005178496593559,0.0064697265625,NA,NA,NA,FALSE
1,1,0.570498330252511,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.965,1,0.217106410435268,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.0136790476056275,0.0273580952112551,490,0.0136790476056275,0.01708984375,0.0273580952112551,0.0341796875,0.00341976190140689,0.0042724609375,NA,NA,NA,FALSE
1,1,0.568704332624163,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.978,1,0.223053523472377,256,8,14000,1,4,1,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.00859825849496588,0.0171965169899318,308,0.00859825849496588,0.0107421875,0.0171965169899318,0.021484375,0.00214956462374148,0.002685546875,NA,NA,NA,FALSE
1,1,0.567259924752372,256,8,14000,1,4,1,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.014,1.849,0.192370823451451,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.385358312547107,0.770716625094214,13804,0.385358312547107,0.4814453125,0.770716625094214,0.962890625,0.0963395781367768,0.120361328125,NA,NA,NA,FALSE
0.902,3.961,0.574531555175781,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0.0801376758746247,0.160275351749249,1372,0.0801376758746247,0.0896879050788677,0.160275351749249,0.179375810157735,0.0106890472086154,0.011962890625,NA,NA,NA,FALSE
0.045,2.113,0.198344094412667,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.373242584667837,0.746485169335673,13370,0.373242584667837,0.46630859375,0.746485169335673,0.9326171875,0.0933106461669591,0.1165771484375,NA,NA,NA,FALSE
0.974,3.988,0.572686604091099,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0.0212610160483699,0.0425220320967397,364,0.0212610160483699,0.0237947503270465,0.0425220320967397,0.0475895006540931,0.00283586966759185,0.003173828125,NA,NA,NA,FALSE
0.15,2.469,0.204631532941546,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.332205441850954,0.664410883701908,11900,0.332205441850954,0.4150390625,0.664410883701908,0.830078125,0.0830513604627385,0.103759765625,NA,NA,NA,FALSE
0.989,3.995,0.571776526314872,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0.0089950452512334,0.0179900905024668,154,0.0089950452512334,0.0100670097537505,0.0179900905024668,0.0201340195075009,0.00119979101321194,0.0013427734375,NA,NA,NA,FALSE
0.228,2.739,0.210809162684849,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.301720707186984,0.603441414373968,10808,0.301720707186984,0.376953125,0.603441414373968,0.75390625,0.075430176796746,0.09423828125,NA,NA,NA,FALSE
0.998,3.999,0.569819041660854,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0.00163546277295153,0.00327092554590305,28,0.00163546277295153,0.00183036540977281,0.00327092554590305,0.00366073081954562,0.000218143820583988,0.000244140625,NA,NA,NA,FALSE
0.345,2.986,0.216820580618722,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.255993605191029,0.511987210382059,9170,0.255993605191029,0.31982421875,0.511987210382059,0.6396484375,0.0639984012977574,0.0799560546875,NA,NA,NA,FALSE
0.999,4,0.568695340837751,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0.000817731386475764,0.00163546277295153,14,0.000817731386475764,0.000915182704886406,0.00163546277295153,0.00183036540977281,0.000109071910291995,0.0001220703125,NA,NA,NA,FALSE
0.473,3.329,0.222992215837751,256,8,14000,1,4,4,1000,0.390829931589358,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.205967373947592,0.411934747895183,7378,0.205967373947592,0.25732421875,0.411934747895183,0.5146484375,0.0514918434868979,0.0643310546875,NA,NA,NA,FALSE
1,4,0.567059925624302,256,8,14000,1,4,4,1000,0.817731386475763,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.912,1,0.216617584228516,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.0391585081521147,0.0783170163042295,1408,0.0391585081521147,0.0491071428571428,0.0783170163042295,0.0982142857142857,0.00978962703802869,0.0122767857142857,NA,NA,NA,FALSE
1,1,0.623499734061105,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.927,1,0.222330093383789,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.0324837624443679,0.0649675248887358,1168,0.0324837624443679,0.0407366071428571,0.0649675248887358,0.0814732142857142,0.00812094061109198,0.0101841517857143,NA,NA,NA,FALSE
1,1,0.620801653180804,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.959,1,0.228176389421735,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.018244304934508,0.0364886098690161,656.000000000001,0.018244304934508,0.0228794642857143,0.0364886098690161,0.0457589285714286,0.00456107623362701,0.00571986607142858,NA,NA,NA,FALSE
1,1,0.618512562343052,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.976,1,0.233870370047433,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.0106795931323949,0.0213591862647899,384,0.0106795931323949,0.0133928571428572,0.0213591862647899,0.0267857142857143,0.00266989828309874,0.00334821428571429,NA,NA,NA,FALSE
1,1,0.61607905796596,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.987,1,0.239250728062221,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.00578477961338059,0.0115695592267612,208,0.00578477961338059,0.00725446428571429,0.0115695592267612,0.0145089285714286,0.00144619490334515,0.00181361607142857,NA,NA,NA,FALSE
1,1,0.613541194370815,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.994,1,0.244969231741769,256,8,16000,1,4,1,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.00266989828309874,0.00533979656619747,96.0000000000001,0.00266989828309874,0.00334821428571429,0.00533979656619747,0.00669642857142858,0.000667474570774684,0.000837053571428572,NA,NA,NA,FALSE
1,1,0.611085619245257,256,8,16000,1,4,1,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.042,2.114,0.216761997767857,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.426293759201431,0.852587518402862,15328,0.426293759201431,0.534598214285714,0.852587518402862,1.06919642857143,0.106573439800358,0.133649553571429,NA,NA,NA,FALSE
1,4,0.623071943010603,256,8,16000,1,4,4,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.116,2.464,0.222300938197545,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.39336501370988,0.78673002741976,14144,0.39336501370988,0.493303571428571,0.78673002741976,0.986607142857143,0.09834125342747,0.123325892857143,NA,NA,NA,FALSE
1,4,0.621208190917969,256,8,16000,1,4,4,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.224,2.786,0.228178841727121,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.345306844614103,0.690613689228206,12416,0.345306844614103,0.433035714285714,0.690613689228206,0.866071428571429,0.0863267111535257,0.108258928571429,NA,NA,NA,FALSE
1,4,0.617945534842355,256,8,16000,1,4,4,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.361,3.066,0.233621597290039,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.284344167150015,0.56868833430003,10224,0.284344167150015,0.356584821428571,0.56868833430003,0.713169642857143,0.0710860417875037,0.0891462053571429,NA,NA,NA,FALSE
1,4,0.616204398018973,256,8,16000,1,4,4,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.542,3.372,0.239285332815988,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.20380223560987,0.40760447121974,7328,0.20380223560987,0.255580357142857,0.40760447121974,0.511160714285714,0.0509505589024675,0.0638950892857142,NA,NA,NA,FALSE
1,4,0.61354500906808,256,8,16000,1,4,4,1000,0.932870424196156,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.651,3.585,0.245015008108956,256,8,16000,1,4,4,1000,0.444983047183122,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.15529908346691,0.310598166933819,5584,0.15529908346691,0.194754464285714,0.310598166933819,0.389508928571429,0.0388247708667274,0.0486886160714286,NA,NA,NA,FALSE
